gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents,targetCode1,distractCode1,altCode1,overCode1
3558-0,1.45E+12,exp,1,4,1,0,director,"Large measuring glass down oneƒ Yes, the pyrex",1,0,0,1
3247-a,1.45E+12,exp,1,4,1,0,director,"large cup down, if something in the way movei t first",1,1,0,0
2942-9,1.45E+12,exp,1,4,1,0,director,larger measuring cup to d4,1,1,0,0
2640-6,1.45E+12,exp,1,4,1,0,director,Move the large measuring cup down,1,1,0,0
2377-a,1.45E+12,exp,1,4,1,0,director,measuring cup down,1,1,0,0
2255-1,1.45E+12,base,1,4,1,0,director,Larger measuring cup down,1,1,0,0
1408-9,1.45E+12,base,1,4,1,0,director,pyrex 1 D,1,0,0,1
1383-5,1.45E+12,base,1,4,1,0,director,measure cup down,1,1,0,0
1264-4,1.45E+12,exp,1,4,1,0,director,measurement cup down ƒ the large one with red letters,1,1,0,1
1184-c,1.45E+12,base,1,4,1,0,director,Cup down one,1,1,0,0
0366-3,1.45E+12,base,1,4,1,0,director,LARGE pyrex measuring cup down,1,0,0,1
0226-8,1.45E+12,exp,1,4,1,0,director,Move the pyrex measuring cup down one (the one with the handle),1,0,0,1
9693-5,1.45E+12,base,1,5,1,0,director,brush left,1,1,0,0
8740-0,1.45E+12,exp,1,5,1,0,director,hair curler left,1,0,0,1
8676-f,1.45E+12,exp,1,5,1,0,director,brush left,1,1,0,0
8136-9,1.45E+12,exp,1,5,1,0,director,move the comb one spot to the left [I don't see comb] brown brush,1,0,0,1
8008-1,1.45E+12,exp,1,5,1,0,director,hairbrush left,1,1,0,1
7865-e,1.45E+12,base,1,5,1,0,director,Move the hair brush left,1,1,0,1
7690-9,1.45E+12,base,1,5,1,0,director,brush left one,1,1,0,0
7316-5,1.45E+12,exp,1,5,1,0,director,MOVE THE BRUSH ONE SPACE LEFT,1,1,0,0
6811-a,1.45E+12,base,1,5,1,0,director,Move the hairbrush left one space,1,1,0,1
6794-e,1.45E+12,base,1,5,1,0,director,move the hairbrush left,1,1,0,1
6008-1,1.45E+12,exp,1,5,1,0,director,brush left,1,1,0,0
5712-f,1.45E+12,base,1,5,1,0,director,move the brush one block to the left,1,1,0,0
5535-6,1.45E+12,exp,1,5,1,0,director,Move brush left one space,1,1,0,0
5266-a,1.45E+12,exp,1,5,1,0,director,move brush left,1,1,0,0
5186-6,1.45E+12,exp,1,5,1,0,director,brush left,1,1,0,0
4928-d,1.45E+12,base,1,5,1,0,director,Move the hairbrush one space to the left,1,1,0,1
4878-0,1.45E+12,exp,1,5,1,0,director,"Hairbrush, left one",1,1,0,1
4726-f,1.45E+12,exp,1,5,1,0,director,Brush to the block next to it on the LEFT,1,1,0,0
4726-4,1.45E+12,exp,1,5,1,0,director,Move the hair brush to the left one,1,1,0,1
3558-0,1.45E+12,exp,1,5,1,0,director,Move hairbrush to the left,1,1,0,1
3247-a,1.45E+12,exp,1,5,1,0,director,brush left,1,1,0,0
2942-9,1.45E+12,exp,1,5,1,0,director,hairbrush to b4,1,1,0,1
2640-6,1.45E+12,base,1,5,1,0,director,Move the hair brush left,1,1,0,1
2377-a,1.45E+12,base,1,5,1,0,director,brush left,1,1,0,0
2255-1,1.45E+12,base,1,5,1,0,director,Move the brush left 1 space,1,1,0,0
1408-9,1.45E+12,exp,1,5,1,0,director,hairbrush one L,1,1,0,1
1383-5,1.45E+12,exp,1,5,1,0,director,comb left 1,0,0,0,0
1264-4,1.45E+12,base,1,5,1,0,director,haircomb left,1,1,0,1
1184-c,1.45E+12,exp,1,5,1,0,director,brush left one,1,1,0,0
0366-3,1.45E+12,base,1,5,1,0,director,round hairbrush left 1,1,0,0,1
0226-8,1.45E+12,exp,1,5,1,0,director,round hairbrush one left,1,0,0,1
9693-5,1.45E+12,exp,1,6,2,0,director,eraser up,1,1,0,0
8740-0,1.45E+12,exp,1,6,2,0,director,expo eraser up,1,0,0,1
8676-f,1.45E+12,exp,1,6,2,0,director,move erase up,1,1,0,0
8136-9,1.45E+12,exp,1,6,2,0,director,move eraser one up,1,1,0,0
8008-1,1.45E+12,exp,1,6,2,0,director,dry eraser up,1,0,0,1
7865-e,1.45E+12,base,1,6,2,0,director,Move the eraser up,1,1,0,0
7690-9,1.45E+12,exp,1,6,2,0,director,erasure up one,1,1,0,0
7316-5,1.45E+12,base,1,6,2,0,director,MOVE THE ERASER ONE SPACE UP,1,1,0,0
6811-a,1.45E+12,base,1,6,2,0,director,Move the dry eraser up one  space,1,0,0,1
6794-e,1.45E+12,exp,1,6,2,0,director,eraser expo up,1,0,0,1
6008-1,1.45E+12,exp,1,6,2,0,director,eraser up,1,1,0,0
5712-f,1.45E+12,base,1,6,2,0,director,move the eraser one block up to the block directly above it,1,1,0,0
5535-6,1.45E+12,exp,1,6,2,0,director,Move Expo up one space,1,0,0,1
5266-a,1.45E+12,exp,1,6,2,0,director,move eraser up,1,1,0,0
5186-6,1.45E+12,base,1,6,2,0,director,eraser up,1,1,0,0
4928-d,1.45E+12,base,1,6,2,0,director,Move the eraser one space up,1,1,0,0
4878-0,1.45E+12,exp,1,6,2,0,director,"Eraser, up one",1,1,0,0
4726-f,1.45E+12,base,1,6,2,0,director,EXPO block upwards to the block ,1,0,0,1
4726-4,1.45E+12,exp,1,6,2,0,director,Move the eraser up one,1,1,0,0
3558-0,1.45E+12,base,1,6,2,0,director,Move eraser up one space,1,1,0,0
3247-a,1.45E+12,base,1,6,2,0,director,eraser up,1,1,0,0
2942-9,1.45E+12,base,1,6,2,0,director,expo eraser to b3,1,0,0,1
2640-6,1.45E+12,exp,1,6,2,0,director,Move the eraser up,1,1,0,0
2377-a,1.45E+12,base,1,6,2,0,director,white out up,0,0,0,0
2255-1,1.45E+12,exp,1,6,2,0,director,Eraser up,1,1,0,0
1408-9,1.45E+12,base,1,6,2,0,director,Expo 1 up,1,0,0,1
1383-5,1.45E+12,exp,1,6,2,0,director,eraser up,1,1,0,0
1264-4,1.45E+12,exp,1,6,2,0,director,expo eraser up,1,0,0,1
1184-c,1.45E+12,base,1,6,2,0,director,eraser up one,1,1,0,0
0366-3,1.45E+12,exp,1,6,2,0,director,black eraser up 1,1,0,0,1
0226-8,1.45E+12,base,1,6,2,0,director,Move the expo eraser up one,1,0,0,1
9693-5,1.45E+12,exp,1,7,3,0,director,candle down,1,1,0,0
8740-0,1.45E+12,exp,1,7,3,0,director,lit candle down,1,1,0,0
8676-f,1.45E+12,exp,1,7,3,0,director,candle down,1,1,0,0
8136-9,1.45E+12,exp,1,7,3,0,director,move the red candle down one spot,1,0,0,0
8008-1,1.45E+12,base,1,7,3,0,director,red candle down,1,0,0,0
7865-e,1.45E+12,base,1,7,3,0,director,Move the red candle down,1,0,0,0
7690-9,1.45E+12,base,1,7,3,0,director,red candle down one,1,0,0,0
7316-5,1.45E+12,base,1,7,3,0,director,MOVE THE CANDLE ONE SPACE DOWN,1,1,0,0
6811-a,1.45E+12,base,1,7,3,0,director,Move the candle down one space,1,1,0,0
6794-e,1.45E+12,base,1,7,3,0,director,move the red candle down,1,0,0,0
6008-1,1.45E+12,base,1,7,3,0,director,candle down,1,1,0,0
5712-f,1.45E+12,base,1,7,3,0,director,move the candle one block down to the block directly beneath it,1,1,0,0
5535-6,1.45E+12,base,1,7,3,0,director,Move candle down one space,1,1,0,0
5266-a,1.45E+12,base,1,7,3,0,director,move red candle down,1,0,0,0
5186-6,1.45E+12,exp,1,7,3,0,director,red candle down,1,0,0,0
4928-d,1.45E+12,exp,1,7,3,0,director,Move the red candle/holder one space down,1,0,0,1
4878-0,1.45E+12,exp,1,7,3,0,director,"Candle, down one",1,1,0,0
4726-f,1.45E+12,base,1,7,3,0,director,Candle same thing,1,1,0,0
4726-4,1.45E+12,base,1,7,3,0,director,Move the candle down one,1,1,0,0
3558-0,1.45E+12,base,1,7,3,0,director,Move candle down one,1,1,0,0
3247-a,1.45E+12,exp,1,7,3,0,director,candle down,1,1,0,0
2942-9,1.45E+12,base,1,7,3,0,director,candle to a2,1,1,0,0
2640-6,1.45E+12,base,1,7,3,0,director,Move the candle down,1,1,0,0
2377-a,1.45E+12,exp,1,7,3,0,director,candlestick down,1,0,0,0
2255-1,1.45E+12,exp,1,7,3,0,director,Candle down,1,1,0,0
1408-9,1.45E+12,exp,1,7,3,0,director,candle 1 D,1,1,0,0
1383-5,1.45E+12,exp,1,7,3,0,director,candle down 1 ƒ red,1,0,0,0
1264-4,1.45E+12,base,1,7,3,0,director,red candle down,1,0,0,0
1184-c,1.45E+12,exp,1,7,3,0,director,Candle down one,1,1,0,0
0366-3,1.45E+12,base,1,7,3,0,director,RED candle down 1,1,0,0,0
0226-8,1.45E+12,exp,1,7,3,0,director,Move the red candlestick down one,1,0,0,1
9693-5,1.45E+12,exp,1,8,1,0,director,mouse up,1,1,0,0
8740-0,1.45E+12,exp,1,8,1,0,director,silver mouse up,1,0,0,1
8676-f,1.45E+12,base,1,8,1,0,director,move the mouse up one,1,1,0,0
8136-9,1.45E+12,base,1,8,1,0,director,move the mouse up one spot,1,1,0,0
8008-1,1.45E+12,exp,1,8,1,0,director,mouse up 1,1,1,0,0
7865-e,1.45E+12,exp,1,8,1,0,director,Move the mouse up,1,1,0,0
7690-9,1.45E+12,exp,1,8,1,0,director,mouse up one,1,1,0,0
7316-5,1.45E+12,exp,1,8,1,0,director,MOVE THE MOUSE ONE SPACE UP,1,1,0,0
6811-a,1.45E+12,base,1,8,1,0,director,Move the mouse up one space,1,1,0,0
6794-e,1.45E+12,exp,1,8,1,0,director,move the computer mouse up,1,0,0,1
6008-1,1.45E+12,base,1,8,1,0,director,mouse up,1,1,0,0
5712-f,1.45E+12,exp,1,8,1,0,director,move the computer mouse one block up to the block directly above it,1,0,0,1
5535-6,1.45E+12,exp,1,8,1,0,director,Move mouse up one space,1,1,0,0
5266-a,1.45E+12,base,1,8,1,0,director,move mouse up,1,1,0,0
5186-6,1.45E+12,exp,1,8,1,0,director,computer mouse up,1,0,0,1
4928-d,1.45E+12,base,1,8,1,0,director,Move the mouse one space up,1,1,0,0
4878-0,1.45E+12,base,1,8,1,0,director,"And the mouse, up one as well",1,1,0,0
4726-f,1.45E+12,exp,1,8,1,0,director,mouse upwards to the block ,1,1,0,0
4726-4,1.45E+12,base,1,8,1,0,director,Move the mouse up one,1,1,0,0
3558-0,1.45E+12,base,1,8,1,0,director,Mouse up one space,1,1,0,0
3247-a,1.45E+12,base,1,8,1,0,director,move mouse up,1,1,0,0
2942-9,1.45E+12,base,1,8,1,0,director,mouse to d2,1,1,0,0
2640-6,1.45E+12,base,1,8,1,0,director,Move the mouse up,1,1,0,0
2377-a,1.45E+12,base,1,8,1,0,director,mouse up,1,1,0,0
2255-1,1.45E+12,base,1,8,1,0,director,Move the mouse up 1 space,1,1,0,0
1408-9,1.45E+12,base,1,8,1,0,director,mouse 1 U,1,1,0,0
1383-5,1.45E+12,base,1,8,1,0,director,mouse up 1,1,1,0,0
1264-4,1.45E+12,exp,1,8,1,0,director,computer mouse up,1,0,0,1
1184-c,1.45E+12,exp,1,8,1,0,director,mouse up one,1,1,0,0
0366-3,1.45E+12,base,1,8,1,0,director,move the mouse up 1 square,1,1,0,0
0226-8,1.45E+12,base,1,8,1,0,director,grey mouse one up,1,0,0,1
