gameid,objectSet,text
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,2,B letter block
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,6,expo chalk eraser
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,3,cassette
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,1,glasses
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,8,mouse
3374-01519e79-6759-4f00-b000-cbd5605c12bb,2,toy block
3374-01519e79-6759-4f00-b000-cbd5605c12bb,7,red candlestick
3374-01519e79-6759-4f00-b000-cbd5605c12bb,1,sunglasses
3374-01519e79-6759-4f00-b000-cbd5605c12bb,8,computer mouse
3374-01519e79-6759-4f00-b000-cbd5605c12bb,4,pyrex cup
3374-01519e79-6759-4f00-b000-cbd5605c12bb,6,eraser
3374-01519e79-6759-4f00-b000-cbd5605c12bb,3,tape
3374-01519e79-6759-4f00-b000-cbd5605c12bb,5,hairbrush
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,5,hairbrush
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,6,eraser
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,8,mouse
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,4,pyrex beaker
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,2,rectangular B cube
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,3,cassette
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,7,red candle
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,1,sunglasses
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,5,brush
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,1,sunglasses
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,8,computer mouse
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,3,cassette
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,2,wooden B
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,6,eraser
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,4,pyrex measuring cup
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,7,candle
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,6,eraser
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,2,block with letter B
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,5,brush
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,4,measuring cup
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,3,tape
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,7,candle
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,1,glasses
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,8,mouse
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,8,mouse
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,5,weird circular hairbrush thing (curler?)
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,1,aviator sunglasses
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,4,glass measuring cup
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,3,cassette tape
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,6,black eraser
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,2,B block
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,7,tall red candle
4715-4501143e-ea94-4532-9726-05fa3429c32d,5,hairbrush
4715-4501143e-ea94-4532-9726-05fa3429c32d,6,eraser
4715-4501143e-ea94-4532-9726-05fa3429c32d,4,measuring cup
4715-4501143e-ea94-4532-9726-05fa3429c32d,1,sunglasses
4715-4501143e-ea94-4532-9726-05fa3429c32d,2,B block
4715-4501143e-ea94-4532-9726-05fa3429c32d,3,tape
4715-4501143e-ea94-4532-9726-05fa3429c32d,7,candlestick
4715-4501143e-ea94-4532-9726-05fa3429c32d,8,mouse
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,1,glasses
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,3,tape
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,6,expo
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,8,mouse
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,7,candlestick
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,5,brush
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,2,B block
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,4,pyrex
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,4,measuring cup
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,8,computer mouse
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,3,cassette tape
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,1,sunglasses
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,2,blue B block
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,6,eraser
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,7,red candle
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,5,hairbrush
