subid,age.group,trial,correct,age,condition
C3,3,beds,1,3.46,Label
C3,3,faces,1,3.46,Label
C10,3,faces,0,3.46,Label
C10,3,houses,0,3.46,Label
C10,3,pasta,1,3.46,Label
C10,3,beds,1,3.46,Label
M18,3,faces,0,3.46,Label
M18,3,houses,1,3.46,Label
M18,3,pasta,1,3.46,Label
M18,3,beds,1,3.46,Label
M16,3,faces,0,3.5,Label
M16,3,houses,0,3.5,Label
M16,3,pasta,0,3.5,Label
M16,3,beds,1,3.5,Label
M23,3,faces,1,3.52,Label
M23,3,houses,0,3.52,Label
M23,3,pasta,1,3.52,Label
M23,3,beds,1,3.52,Label
C7,3,faces,0,3.55,Label
C7,3,houses,1,3.55,Label
C7,3,pasta,0,3.55,Label
C7,3,beds,0,3.55,Label
C12,3,faces,1,3.56,Label
C12,3,houses,0,3.56,Label
C12,3,pasta,1,3.56,Label
C12,3,beds,1,3.56,Label
C15,3,faces,1,3.59,Label
C15,3,houses,1,3.59,Label
C15,3,pasta,1,3.59,Label
C15,3,beds,1,3.59,Label
M29,3,faces,0,3.72,Label
M29,3,houses,1,3.72,Label
M29,3,pasta,1,3.72,Label
M29,3,beds,1,3.72,Label
C20,3,faces,1,3.75,Label
C20,3,houses,1,3.75,Label
C20,3,pasta,1,3.75,Label
C20,3,beds,1,3.75,Label
M11,3,faces,1,3.82,Label
M11,3,houses,0,3.82,Label
M11,3,pasta,1,3.82,Label
M11,3,beds,1,3.82,Label
C9,3,beds,1,3.82,Label
C9,3,faces,1,3.82,Label
C9,3,houses,1,3.82,Label
C9,3,pasta,1,3.82,Label
C24,3,faces,1,3.85,Label
C24,3,houses,0,3.85,Label
C24,3,pasta,0,3.85,Label
C24,3,beds,1,3.85,Label
C22,3,faces,0,3.92,Label
C22,3,houses,0,3.92,Label
C22,3,pasta,1,3.92,Label
C22,3,beds,1,3.92,Label
C8,3,faces,1,3.92,Label
C8,3,houses,1,3.92,Label
C8,3,pasta,1,3.92,Label
C8,3,beds,1,3.92,Label
M4,3,faces,1,3.96,Label
M4,3,houses,1,3.96,Label
M4,3,pasta,1,3.96,Label
M4,3,beds,1,3.96,Label
M6,4,faces,0,4.5,Label
M6,4,houses,1,4.5,Label
M6,4,pasta,1,4.5,Label
M6,4,beds,0,4.5,Label
C19,4,faces,1,4.14,Label
C19,4,houses,0,4.14,Label
C19,4,pasta,0,4.14,Label
C19,4,beds,1,4.14,Label
C1,4,faces,1,4.16,Label
C1,4,houses,1,4.16,Label
C1,4,pasta,1,4.16,Label
C1,4,beds,1,4.16,Label
M19,4,beds,1,4.16,Label
M19,4,faces,0,4.16,Label
M19,4,houses,0,4.16,Label
M19,4,pasta,1,4.16,Label
C11,4,faces,1,4.22,Label
C11,4,houses,0,4.22,Label
C11,4,pasta,1,4.22,Label
C11,4,beds,1,4.22,Label
M9,4,faces,1,4.26,Label
M9,4,houses,1,4.26,Label
M9,4,pasta,1,4.26,Label
M9,4,beds,1,4.26,Label
M2,4,faces,1,4.28,Label
M2,4,houses,0,4.28,Label
M2,4,pasta,1,4.28,Label
M2,4,beds,1,4.28,Label
C5,4,faces,1,4.29,Label
C5,4,houses,1,4.29,Label
C5,4,pasta,1,4.29,Label
C5,4,beds,1,4.29,Label
M30,4,beds,1,4.33,Label
M30,4,faces,1,4.33,Label
M30,4,houses,0,4.33,Label
M30,4,pasta,1,4.33,Label
C13,4,faces,0,4.38,Label
C13,4,houses,1,4.38,Label
C13,4,pasta,0,4.38,Label
C13,4,beds,1,4.38,Label
C4,4,faces,1,4.55,Label
C4,4,houses,1,4.55,Label
C4,4,pasta,1,4.55,Label
C4,4,beds,1,4.55,Label
C14,4,faces,1,4.57,Label
C14,4,houses,1,4.57,Label
C14,4,pasta,0,4.57,Label
C14,4,beds,1,4.57,Label
M17,4,faces,1,4.58,Label
M17,4,houses,1,4.58,Label
M17,4,pasta,1,4.58,Label
M17,4,beds,1,4.58,Label
C2,4,faces,1,4.6,Label
C2,4,houses,1,4.6,Label
C2,4,pasta,1,4.6,Label
C2,4,beds,1,4.6,Label
C23,4,faces,0,4.62,Label
C23,4,houses,1,4.62,Label
C23,4,pasta,1,4.62,Label
C23,4,beds,0,4.62,Label
M20,4,faces,0,4.64,Label
M20,4,houses,0,4.64,Label
M20,4,pasta,1,4.64,Label
M20,4,beds,1,4.64,Label
M21,4,faces,1,4.64,Label
M21,4,houses,1,4.64,Label
M21,4,pasta,1,4.64,Label
M21,4,beds,1,4.64,Label
C21,4,faces,1,4.73,Label
C21,4,houses,0,4.73,Label
C21,4,pasta,1,4.73,Label
C21,4,beds,1,4.73,Label
M24,4,faces,1,4.82,Label
M24,4,houses,1,4.82,Label
M24,4,pasta,1,4.82,Label
M24,4,beds,1,4.82,Label
M5,4,faces,0,4.84,Label
M5,4,houses,0,4.84,Label
M5,4,pasta,0,4.84,Label
M5,4,beds,1,4.84,Label
M7,4,faces,1,4.89,Label
M7,4,houses,1,4.89,Label
M7,4,pasta,1,4.89,Label
M7,4,beds,0,4.89,Label
M8,4,faces,1,4.89,Label
M8,4,houses,1,4.89,Label
M8,4,pasta,1,4.89,Label
M8,4,beds,1,4.89,Label
C18,4,faces,0,4.95,Label
C18,4,houses,1,4.95,Label
C18,4,pasta,1,4.95,Label
C18,4,beds,1,4.95,Label
M25,4,faces,1,4.96,Label
M25,4,houses,1,4.96,Label
M25,4,pasta,1,4.96,Label
M25,4,beds,1,4.96,Label
MSCH47,2,faces,1,2.01,No Label
MSCH47,2,houses,0,2.01,No Label
MSCH47,2,pasta,1,2.01,No Label
MSCH47,2,beds,0,2.01,No Label
MSCH50,2,faces,0,2.03,No Label
MSCH50,2,houses,0,2.03,No Label
MSCH50,2,pasta,0,2.03,No Label
MSCH50,2,beds,0,2.03,No Label
MSCH51,2,faces,0,2.07,No Label
MSCH51,2,houses,0,2.07,No Label
MSCH51,2,pasta,0,2.07,No Label
MSCH51,2,beds,0,2.07,No Label
MSCH44,2,faces,0,2.25,No Label
MSCH44,2,houses,0,2.25,No Label
MSCH44,2,pasta,0,2.25,No Label
MSCH44,2,beds,0,2.25,No Label
MSCH52,2,faces,0,2.5,No Label
MSCH52,2,houses,1,2.5,No Label
MSCH52,2,pasta,0,2.5,No Label
MSCH52,2,beds,1,2.5,No Label
MSCH38,2,faces,0,2.59,No Label
MSCH38,2,houses,0,2.59,No Label
MSCH38,2,pasta,1,2.59,No Label
MSCH38,2,beds,0,2.59,No Label
MSCH43,2,faces,0,2.71,No Label
MSCH43,2,houses,0,2.71,No Label
MSCH43,2,pasta,0,2.71,No Label
MSCH43,2,beds,0,2.71,No Label
MSCH49,2,faces,0,2.88,No Label
MSCH49,2,houses,0,2.88,No Label
MSCH49,2,pasta,0,2.88,No Label
MSCH49,2,beds,0,2.88,No Label
MSCH45,2,faces,0,2.9,No Label
MSCH45,2,houses,0,2.9,No Label
MSCH45,2,pasta,0,2.9,No Label
MSCH45,2,beds,1,2.9,No Label
MSCH42,2,faces,1,2.93,No Label
MSCH42,2,houses,0,2.93,No Label
MSCH42,2,pasta,0,2.93,No Label
MSCH42,2,beds,0,2.93,No Label
MSCH53,2,faces,1,2.99,No Label
MSCH53,2,houses,1,2.99,No Label
MSCH53,2,pasta,0,2.99,No Label
MSCH53,2,beds,0,2.99,No Label
SCH35,3,faces,0,3.02,No Label
SCH35,3,houses,0,3.02,No Label
SCH35,3,pasta,0,3.02,No Label
SCH35,3,beds,0,3.02,No Label
MSCH40,3,faces,0,3.02,No Label
MSCH40,3,houses,1,3.02,No Label
MSCH40,3,pasta,0,3.02,No Label
MSCH40,3,beds,1,3.02,No Label
SCH34,3,faces,0,3.06,No Label
SCH34,3,houses,0,3.06,No Label
SCH34,3,pasta,0,3.06,No Label
SCH34,3,beds,0,3.06,No Label
SCH33,3,faces,0,3.06,No Label
SCH33,3,houses,0,3.06,No Label
SCH33,3,pasta,0,3.06,No Label
SCH33,3,beds,0,3.06,No Label
MSCH41,3,faces,0,3.18,No Label
MSCH41,3,houses,0,3.18,No Label
MSCH41,3,pasta,0,3.18,No Label
MSCH41,3,beds,0,3.18,No Label
SCH37,3,beds,0,3.27,No Label
SCH37,3,faces,1,3.27,No Label
SCH37,3,houses,0,3.27,No Label
SCH37,3,pasta,1,3.27,No Label
SCH32,3,faces,1,3.27,No Label
SCH32,3,houses,0,3.27,No Label
SCH32,3,pasta,0,3.27,No Label
SCH32,3,beds,0,3.27,No Label
SCH36,3,beds,0,3.33,No Label
SCH36,3,faces,0,3.33,No Label
SCH36,3,houses,1,3.33,No Label
SCH36,3,pasta,1,3.33,No Label
SCH11,3,beds,0,3.41,No Label
SCH12,3,faces,0,3.41,No Label
SCH12,3,houses,0,3.41,No Label
SCH12,3,pasta,0,3.41,No Label
SCH12,3,beds,0,3.41,No Label
SCH18,3,faces,0,3.45,No Label
SCH18,3,houses,0,3.45,No Label
SCH18,3,pasta,0,3.45,No Label
SCH18,3,beds,0,3.45,No Label
MSCH48,3,faces,0,3.5,No Label
MSCH48,3,houses,1,3.5,No Label
MSCH48,3,pasta,0,3.5,No Label
MSCH48,3,beds,0,3.5,No Label
SCH25,3,faces,0,3.54,No Label
SCH25,3,houses,1,3.54,No Label
SCH25,3,pasta,1,3.54,No Label
SCH25,3,beds,0,3.54,No Label
SCH31,3,faces,0,3.71,No Label
SCH31,3,houses,0,3.71,No Label
SCH31,3,pasta,0,3.71,No Label
SCH31,3,beds,0,3.71,No Label
MSCH46,3,faces,0,3.76,No Label
MSCH46,3,houses,0,3.76,No Label
MSCH46,3,pasta,1,3.76,No Label
MSCH46,3,beds,0,3.76,No Label
SCH11,3,faces,1,3.82,No Label
SCH11,3,houses,1,3.82,No Label
SCH11,3,pasta,1,3.82,No Label
SCH29,3,faces,0,3.83,No Label
SCH29,3,houses,0,3.83,No Label
SCH29,3,pasta,0,3.83,No Label
SCH29,3,beds,0,3.83,No Label
MSCH39,3,beds,1,3.93,No Label
MSCH39,3,pasta,0,3.93,No Label
MSCH39,3,houses,0,3.94,No Label
MSCH39,3,faces,0,3.94,No Label
SCH28,4,faces,0,4.02,No Label
SCH28,4,houses,0,4.02,No Label
SCH28,4,pasta,0,4.02,No Label
SCH28,4,beds,0,4.02,No Label
SCH22,4,faces,0,4.02,No Label
SCH22,4,houses,0,4.02,No Label
SCH22,4,pasta,0,4.02,No Label
SCH22,4,beds,1,4.02,No Label
SCH24,4,faces,0,4.07,No Label
SCH24,4,houses,0,4.07,No Label
SCH24,4,pasta,1,4.07,No Label
SCH24,4,beds,0,4.07,No Label
SCH27,4,faces,0,4.09,No Label
SCH27,4,houses,0,4.09,No Label
SCH27,4,pasta,1,4.09,No Label
SCH27,4,beds,0,4.09,No Label
SCH17,4,faces,0,4.25,No Label
SCH17,4,houses,0,4.25,No Label
SCH17,4,pasta,1,4.25,No Label
SCH17,4,beds,0,4.25,No Label
SCH10,4,faces,0,4.32,No Label
SCH10,4,houses,0,4.32,No Label
SCH10,4,pasta,0,4.32,No Label
SCH10,4,beds,1,4.32,No Label
SCH9,4,faces,0,4.37,No Label
SCH9,4,houses,0,4.37,No Label
SCH9,4,pasta,0,4.37,No Label
SCH9,4,beds,0,4.37,No Label
SCH20,4,faces,0,4.39,No Label
SCH20,4,houses,0,4.39,No Label
SCH20,4,pasta,0,4.39,No Label
SCH20,4,beds,0,4.39,No Label
SCH6,4,faces,0,4.41,No Label
SCH6,4,houses,0,4.41,No Label
SCH6,4,pasta,0,4.41,No Label
SCH6,4,beds,0,4.41,No Label
SCH7,4,faces,1,4.41,No Label
SCH7,4,houses,0,4.41,No Label
SCH7,4,pasta,0,4.41,No Label
SCH7,4,beds,0,4.41,No Label
SCH15,4,faces,1,4.42,No Label
SCH15,4,houses,0,4.42,No Label
SCH15,4,pasta,0,4.42,No Label
SCH15,4,beds,0,4.42,No Label
SCH30,4,faces,0,4.44,No Label
SCH30,4,houses,0,4.44,No Label
SCH30,4,pasta,1,4.44,No Label
SCH30,4,beds,0,4.44,No Label
SCH3,4,faces,0,4.47,No Label
SCH3,4,houses,0,4.47,No Label
SCH3,4,pasta,0,4.47,No Label
SCH3,4,beds,0,4.47,No Label
SCH26,4,faces,0,4.47,No Label
SCH26,4,houses,0,4.47,No Label
SCH26,4,pasta,1,4.47,No Label
SCH26,4,beds,0,4.47,No Label
SCH8,4,faces,0,4.52,No Label
SCH8,4,houses,0,4.52,No Label
SCH8,4,pasta,0,4.52,No Label
SCH8,4,beds,0,4.52,No Label
SCH16,4,faces,0,4.55,No Label
SCH16,4,houses,0,4.55,No Label
SCH16,4,pasta,0,4.55,No Label
SCH16,4,beds,1,4.55,No Label
SCH14,4,faces,0,4.58,No Label
SCH14,4,houses,0,4.58,No Label
SCH14,4,pasta,0,4.58,No Label
SCH14,4,beds,1,4.58,No Label
SCH2,4,faces,0,4.61,No Label
SCH2,4,houses,0,4.61,No Label
SCH2,4,pasta,0,4.61,No Label
SCH2,4,beds,0,4.61,No Label
SCH5,4,faces,0,4.61,No Label
SCH5,4,houses,0,4.61,No Label
SCH5,4,pasta,0,4.61,No Label
SCH5,4,beds,0,4.61,No Label
SCH13,4,faces,0,4.75,No Label
SCH13,4,houses,0,4.75,No Label
SCH13,4,pasta,0,4.75,No Label
SCH13,4,beds,0,4.75,No Label
SCH21,4,faces,0,4.76,No Label
SCH21,4,houses,0,4.76,No Label
SCH21,4,pasta,0,4.76,No Label
SCH21,4,beds,0,4.76,No Label
SCH19,4,faces,0,4.79,No Label
SCH19,4,houses,0,4.79,No Label
SCH19,4,pasta,0,4.79,No Label
SCH19,4,beds,1,4.79,No Label
SCH23,4,faces,0,4.82,No Label
SCH23,4,houses,0,4.82,No Label
SCH23,4,pasta,0,4.82,No Label
SCH23,4,beds,0,4.82,No Label
SCH1,4,faces,0,4.82,No Label
SCH1,4,houses,0,4.82,No Label
SCH1,4,pasta,0,4.82,No Label
SCH1,4,beds,0,4.82,No Label
MSCH66,3,faces,0,3.5,No Label
MSCH66,3,houses,0,3.5,No Label
MSCH66,3,pasta,1,3.5,No Label
MSCH66,3,beds,0,3.5,No Label
MSCH67,3,faces,0,3.24,No Label
MSCH67,3,houses,1,3.24,No Label
MSCH67,3,pasta,0,3.24,No Label
MSCH67,3,beds,1,3.24,No Label
MSCH68,3,faces,0,3.94,No Label
MSCH68,3,houses,0,3.94,No Label
MSCH68,3,pasta,0,3.94,No Label
MSCH68,3,beds,0,3.94,No Label
MSCH69,2,faces,0,2.72,No Label
MSCH69,2,houses,1,2.72,No Label
MSCH69,2,pasta,1,2.72,No Label
MSCH69,2,beds,0,2.72,No Label
MSCH70,2,faces,0,2.31,No Label
MSCH70,2,houses,0,2.31,No Label
MSCH70,2,pasta,0,2.31,No Label
MSCH70,2,beds,1,2.31,No Label
MSCH71,3,faces,1,3.14,No Label
MSCH71,3,houses,1,3.14,No Label
MSCH71,3,pasta,1,3.14,No Label
MSCH71,3,beds,0,3.14,No Label
MSCH72,3,faces,1,3.72,No Label
MSCH72,3,houses,1,3.72,No Label
MSCH72,3,pasta,0,3.72,No Label
MSCH72,3,beds,0,3.72,No Label
MSCH73,3,faces,0,3.1,No Label
MSCH73,3,houses,0,3.1,No Label
MSCH73,3,pasta,0,3.1,No Label
MSCH73,3,beds,0,3.1,No Label
MSCH74,2,faces,1,2.34,No Label
MSCH74,2,houses,0,2.34,No Label
MSCH74,2,pasta,0,2.34,No Label
MSCH74,2,beds,1,2.34,No Label
MSCH75,3,faces,0,3.67,No Label
MSCH75,3,houses,0,3.67,No Label
MSCH75,3,pasta,0,3.67,No Label
MSCH75,3,beds,0,3.66,No Label
MSCH76,2,faces,0,2.58,No Label
MSCH76,2,houses,0,2.58,No Label
MSCH76,2,pasta,0,2.58,No Label
MSCH76,2,beds,0,2.58,No Label
MSCH77,2,faces,0,2.55,No Label
MSCH77,2,houses,0,2.55,No Label
MSCH77,2,pasta,0,2.55,No Label
MSCH77,2,beds,1,2.55,No Label
MSCH78,2,faces,0,2.43,No Label
MSCH78,2,houses,0,2.43,No Label
MSCH78,2,pasta,0,2.43,No Label
MSCH78,2,beds,1,2.43,No Label
MSCH79,2,faces,0,2.7,No Label
MSCH79,2,houses,1,2.7,No Label
MSCH79,2,pasta,0,2.7,No Label
MSCH79,2,beds,1,2.7,No Label
MSCH80,2,faces,0,2.76,No Label
MSCH80,2,houses,0,2.76,No Label
MSCH80,2,pasta,0,2.76,No Label
MSCH80,2,beds,0,2.76,No Label
MSCH81,2,faces,1,2.84,No Label
MSCH81,2,houses,0,2.84,No Label
MSCH81,2,pasta,0,2.84,No Label
MSCH81,2,beds,0,2.84,No Label
MSCH82,2,faces,1,2.46,No Label
MSCH82,2,houses,0,2.46,No Label
MSCH82,2,pasta,1,2.46,No Label
MSCH82,2,beds,0,2.46,No Label
MSCH83,2,faces,0,2.37,No Label
MSCH83,2,houses,0,2.37,No Label
MSCH83,2,pasta,1,2.37,No Label
MSCH83,2,beds,0,2.37,No Label
MSCH84,2,faces,0,2.83,No Label
MSCH84,2,houses,0,2.83,No Label
MSCH84,2,pasta,1,2.83,No Label
MSCH84,2,beds,0,2.83,No Label
MSCH85,2,faces,0,2.69,No Label
MSCH85,2,houses,0,2.69,No Label
MSCH85,2,pasta,0,2.69,No Label
MSCH85,2,beds,0,2.69,No Label
