gameid,trialNum,distractorType,context,hidden,numDistractors,colorMention,shapeMention,textureMention
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,11,diff_shape,far,no,2,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,12,color_shape,close,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,13,shape_only,close,yes,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,14,diff_shape,far,yes,3,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,15,shape_only,close,yes,3,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,16,texture_shape,close,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,17,color_shape,close,yes,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,18,diff_shape,far,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,19,shape_only,close,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,20,shape_only,close,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,21,diff_shape,far,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,22,color_shape,close,yes,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,23,diff_shape,far,yes,2,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,24,diff_shape,far,yes,3,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,1,shape_only,close,no,3,TRUE,TRUE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,2,diff_shape,far,no,4,TRUE,TRUE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,3,color_shape,close,no,3,FALSE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,4,diff_shape,far,yes,3,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,5,shape_only,close,yes,2,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,6,texture_shape,close,yes,4,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,7,diff_shape,far,no,3,FALSE,TRUE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,8,diff_shape,far,yes,4,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,9,diff_shape,far,yes,4,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,10,shape_only,close,yes,4,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,11,shape_only,close,no,2,TRUE,FALSE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,12,texture_shape,close,no,2,TRUE,FALSE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,13,diff_shape,far,no,2,TRUE,TRUE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,14,diff_shape,far,yes,3,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,15,diff_shape,far,no,3,FALSE,TRUE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,16,shape_only,close,yes,3,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,17,diff_shape,far,no,3,FALSE,TRUE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,18,shape_only,close,yes,4,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,19,diff_shape,far,yes,4,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,20,shape_only,close,yes,2,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,21,diff_shape,far,yes,4,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,22,color_shape,close,no,3,TRUE,TRUE,TRUE
0695-25cba373-a155-42c2-9971-44e1af0b113a,23,diff_shape,far,no,2,FALSE,TRUE,FALSE
0695-25cba373-a155-42c2-9971-44e1af0b113a,24,color_shape,close,no,4,FALSE,TRUE,TRUE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,1,shape_only,close,no,2,FALSE,TRUE,TRUE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,2,shape_only,close,yes,3,TRUE,TRUE,TRUE
