iterationName	gameid	time	distractorX	distractorY	targetX	targetY	mouseX	mouseY	eventType
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032562	none	none	300	1500	897	1304	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032574	none	none	300	1500	890	1354	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032576	none	none	300	1500	890	1354	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032591	none	none	300	1500	876	1386	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032597	none	none	300	1500	876	1386	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032607	none	none	300	1500	861	1411	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032612	none	none	300	1500	861	1411	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032627	none	none	300	1500	829	1440	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032629	none	none	300	1500	829	1440	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032641	none	none	300	1500	808	1443	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032643	none	none	300	1500	808	1443	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032661	none	none	300	1500	747	1443	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032665	none	none	300	1500	747	1443	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032673	none	none	300	1500	708	1443	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032688	none	none	300	1500	708	1443	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032704	none	none	300	1500	676	1440	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032705	none	none	300	1500	676	1440	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032710	none	none	300	1500	629	1436	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032712	none	none	300	1500	629	1436	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032725	none	none	300	1500	608	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032726	none	none	300	1500	608	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032742	none	none	300	1500	586	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032744	none	none	300	1500	586	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032762	none	none	300	1500	536	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032765	none	none	300	1500	536	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032778	none	none	300	1500	508	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032780	none	none	300	1500	508	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032795	none	none	300	1500	465	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032797	none	none	300	1500	465	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032807	none	none	300	1500	426	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032812	none	none	300	1500	426	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032830	none	none	300	1500	383	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032837	none	none	300	1500	383	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032842	none	none	300	1500	361	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032844	none	none	300	1500	361	1429	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032860	none	none	300	1500	340	1432	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032862	none	none	300	1500	340	1432	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507032880	none	none	300	1500	308	1443	updateMouse
